,date,venue,innings,target,team,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,d1,r1,w1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,d2,r2,w2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,d3,r3,w3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,d4,r4,w4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,d5,r5,w5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,d6,r6,w6
45,2013-04-14,Eden Gardens,2,132,Sunrisers Hyderabad,1,0,1,0,1,4,,,,,,,6,7,0,0,1,1,1,1,0,,,,,,,6,4,0,1,1,0,1,6,4,,,,,,,6,13,0,1,1,1,0,1,1,,,,,,,6,5,0,1,0,1,0,1,1,,,,,,,6,4,0,1,1,0,1,1,1,1,,,,,,7,6,0
46,2018-04-29,M.Chinnaswamy Stadium,1,,Royal Challengers Bangalore,0,0,1,0,0,0,,,,,,,6,1,0,0,0,4,4,0,0,,,,,,,6,8,0,1,1,4,1,1,0,6,,,,,,7,14,0,4,1,1,0,0,0,,,,,,,6,6,0,1,1,0,4,0,1,,,,,,,6,7,0,1,1,0,1,0,1,,,,,,,6,4,0
47,2018-04-29,M.Chinnaswamy Stadium,2,176,Kolkata Knight Riders,0,1,1,1,0,1,1,,,,,,7,5,0,6,4,1,1,0,1,,,,,,,6,13,0,4,4,0,1,0,2,0,,,,,,7,11,0,4,0,0,1,1,1,,,,,,,6,7,0,4,0,0,6,1,0,,,,,,,6,11,0,0,0,0,4,0,0,,,,,,,6,4,0
48,2011-05-28,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings,1,2,0,1,0,1,,,,,,,6,5,0,1,3,0,1,0,6,,,,,,,6,11,0,6,1,2,1,0,0,,,,,,,6,10,0,1,1,1,5,1,1,,,,,,,6,10,0,2,1,1,2,0,6,,,,,,,6,12,0,6,0,1,0,0,1,,,,,,,6,8,0
49,2011-05-28,"MA Chidambaram Stadium, Chepauk",2,147,Royal Challengers Bangalore,1,0,0,0,1,4,,,,,,,6,6,0,1,4,1,0,2,1,,,,,,,6,9,0,0,1,0,1,0,1,,,,,,,6,3,0,0,3,0,2,1,0,,,,,,,6,6,0,0,1,4,1,4,4,,,,,,,6,14,0,1,4,1,2,0,1,,,,,,,6,9,0
50,2016-05-15,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,,Mumbai Indians,0,0,4,6,1,0,,,,,,,6,11,0,1,0,0,1,0,1,,,,,,,6,3,0,0,1,1,0,1,0,,,,,,,6,3,0,1,6,1,0,0,6,,,,,,,6,14,0,0,0,0,0,1,1,,,,,,,6,2,0,1,3,6,1,0,1,,,,,,,6,12,0
51,2016-05-15,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,126,Delhi Daredevils,1,1,0,6,1,1,,,,,,,6,10,0,0,1,0,0,1,1,,,,,,,6,3,0,0,6,0,0,1,1,,,,,,,6,8,0,0,1,4,6,4,4,,,,,,,6,19,0,1,1,4,0,0,1,,,,,,,6,7,0,0,1,1,0,0,0,,,,,,,6,2,0
52,2016-04-28,Wankhede Stadium,1,,Kolkata Knight Riders,1,0,0,0,1,2,,,,,,,6,4,0,4,1,3,0,2,1,,,,,,,6,11,0,4,1,4,3,4,1,,,,,,,6,17,0,1,1,1,2,1,0,,,,,,,6,6,0,0,6,2,0,1,1,,,,,,,6,10,0,1,6,1,0,2,1,,,,,,,6,11,0
53,2016-04-28,Wankhede Stadium,2,178,Mumbai Indians,0,6,0,1,1,0,,,,,,,6,8,0,0,4,1,1,1,0,1,,,,,,7,8,0,0,0,0,4,6,0,,,,,,,6,10,0,0,0,4,4,1,1,1,,,,,,7,11,0,1,4,0,1,1,1,,,,,,,6,8,0,6,1,4,4,4,0,,,,,,,6,19,0
54,2016-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,,Kings XI Punjab,1,0,0,0,0,0,,,,,,,6,1,0,0,1,0,1,4,4,,,,,,,6,10,0,1,4,2,1,4,1,,,,,,,6,13,0,4,4,0,1,2,1,,,,,,,6,12,0,0,1,2,0,1,0,,,,,,,6,4,0,1,0,4,0,0,0,,,,,,,6,5,0
